id,name,parent
434,Munduk,13.0
435,Munduk Bestala,58.0
436,Munduk Temu,51.0
437,Munggu,44.0
438,Musi,26.0
439,Nagasepaha,19.0
440,Nawakerti,10.0
441,Negari,14.0
442,Ngis,39.0
443,Nongan,52.0
444,Nusa Sari,41.0
445,Nyalian,14.0
446,Nyambu,30.0
447,Nyanglan,15.0
448,Nyitdah,30.0
449,Nyuh Tebel,39.0
450,Pacung,66.0
451,Padang Kerta,29.0
452,Padangan,51.0
453,Padangbai,39.0
454,Padangbulia,60.0
455,Padangsambian,22.0
456,Padangsambian Kaja,22.0
457,Padangsambian Klod,22.0
458,Pajahan,51.0
459,Paket Agung,19.0
460,Pakisan,35.0
461,Paksebali,21.0
462,Pancasari,60.0
463,Pandak Bandung,30.0
464,Pandak Gede,30.0
465,Pangkung Karung,31.0
466,Pangkung Tibah,30.0
467,Pangkungparuk,58.0
468,Pangsan,50.0
469,Pangyangan,48.0
470,Panjer,23.0
471,Panji,60.0
472,Panji Anom,60.0
473,Patas,26.0
474,Patemon,58.0
475,Payangan,40.0
476,Pecatu,37.0
477,Ped,46.0
478,Pedawa,13.0
479,Pedungan,23.0
480,Pegadungan,60.0
481,Pegayaman,60.0
482,Peguyangan,25.0
483,Peguyangan Kaja,25.0
484,Peguyangan Kangin,25.0
485,Pejarakan,26.0
486,Pejaten,30.0
487,Pejeng,64.0
488,Pejeng Kaja,64.0
489,Pejeng Kangin,64.0
490,Pejeng Kawan,64.0
491,Pejeng Kelod,64.0
492,Pejukutan,46.0
493,Peken Belayu,40.0
494,Pekutatan,48.0
495,Pelaga,50.0
496,Pelapuan,20.0
497,Peliatan,68.0
498,Pemaron,19.0
499,Pemecutan,22.0
500,Pemecutan Kaja,25.0
501,Pemecutan Klod,22.0
502,Pemogan,23.0
503,Pempatan,52.0
504,Pemuteran,26.0
505,Penarukan,19.0
506,Penarukan,31.0
507,Penarungan,44.0
508,Penatahan,49.0
509,Penatih,24.0
510,Penatih Dangin Puri,24.0
511,Pendem,28.0
512,Penebel,49.0
513,Pengambengan,45.0
514,Pengastulan,58.0
515,Pengejaran,32.0
516,Pengeragoan,48.0
517,Pengiangan,62.0
518,Penglatan,19.0
519,Penglumbaran,62.0
520,Pengotan,12.0
521,Pengulon,26.0
522,Peninjoan,67.0
523,Penuktukan,66.0
524,Penyabangan,26.0
525,Penyaringan,43.0
526,Perancak,28.0
527,Perean,16.0
528,Perean Kangin,16.0
529,Perean Tengah,16.0
530,Pererenan,44.0
531,Pergung,43.0
532,Pering,18.0
533,Pering Sari,54.0
534,Pertima,29.0
535,Pesaban,52.0
536,Pesagi,49.0
537,Pesedahan,39.0
538,Pesinggahan,21.0
539,Petak,27.0
540,Petak Kaja,27.0
541,Petandakan,19.0
542,Petang,50.0
543,Petiga,40.0
544,Petulu,68.0
545,Pidpid,10.0
546,Pikat,21.0
547,Pinggan,32.0
548,Pitra,49.0
549,Poh Bergong,19.0
550,Pohsanten,43.0
551,Pucaksari,20.0
552,Puhu,47.0
553,Pujungan,51.0
554,Pulukan,48.0
555,Punggul,11.0
556,Pupuan,65.0
557,Pupuan,51.0
558,Pupuan Sawah,55.0
559,Purwakerti,10.0
560,Rangdu,58.0
561,Rejasa,49.0
562,Rendang,52.0
563,Renon,23.0
564,Riang Gede,49.0
565,Ringdikit,58.0
566,Saba,18.0
567,Sading,44.0
568,Sakti,46.0
569,Sambangan,60.0
570,Sambirenteng,66.0
571,Sampalan Klod,21.0
572,Sampalan Tengah,21.0
573,Samplangan,27.0
574,Samsam,31.0
575,Sanda,51.0
576,Sanding,64.0
577,Sangeh,11.0
578,Sanggalangit,26.0
579,Sangkan Gunung,59.0
580,Sangkaragung,28.0
581,Sangketan,49.0
582,Sangsit,53.0
583,Sanur,23.0
584,Sanur Kaja,23.0
585,Sanur Kauh,23.0
586,Sari Mekar,19.0
587,Satra,32.0
588,Satra,33.0
589,Sawan,53.0
590,Sayan,68.0
591,Sebatu,65.0
592,Sebudi,54.0
593,Sedang,11.0
594,Sekaan,32.0
595,Sekardadi,32.0
596,Sekartaji,46.0
597,Sekumpul,53.0
598,Selabih,56.0
599,Selanbawak,40.0
600,Selat,11.0
601,Selat,62.0
602,Selat,60.0
603,Selat,54.0
604,Selat,33.0
605,Selemadeg,55.0
606,Selisihan,33.0
607,Selulung,32.0
608,Selumbung,39.0
609,Semarapura Kaja,33.0
610,Semarapura Kangin,33.0
611,Semarapura Kauh,33.0
612,Semarapura Kelod,33.0
613,Semarapura Kelod Kangin,33.0
614,Semarapura Tengah,33.0
615,Sembiran,66.0
616,Sembung,44.0
617,Sembung Gede,31.0
618,Seminyak,36.0
619,Sempidi,44.0
620,Senganan,49.0
621,Sengkidu,39.0
622,Sepang,20.0
623,Sepang Kelod,20.0
624,Serahi,32.0
625,Serampingan,55.0
626,Serangan,23.0
627,Seraya,29.0
628,Seraya Barat,29.0
629,Seraya Timur,29.0
630,Seririt,58.0
